25,"Monero","$2,807,976,736","$154.76","18,147,820","$76,071,752","3.20 %",2023-06-23 21:36:17.551287
26,"Cosmos Hub","$2,747,008,851","$9.38","292,586,164","$65,624,451","3.11 %",2023-06-23 21:36:17.551287
27,"OKB","$2,730,615,226","$45.51","60,000,000","$5,801,838","2.24 %",2023-06-23 21:36:17.551287
28,"Ethereum Classic","$2,668,768,002","$18.85","141,588,671","$251,486,064","12.29 %",2023-06-23 21:36:17.551287
29,"Stellar","$2,419,352,407","$0.09","26,924,809,632","$46,137,154","3.72 %",2023-06-23 21:36:17.551287
31,"Internet Computer","$1,918,504,050","$4.39","437,397,922","$18,269,546","5.59 %",2023-06-23 21:36:17.551287
32,"Filecoin","$1,759,917,751","$4.07","432,074,818","$92,357,116","3.52 %",2023-06-23 21:36:17.551287
34,"Hedera","$1,691,410,934","$0.05","31,755,152,658","$24,418,723","6.66 %",2023-06-23 21:36:17.551287
36,"Quant","$1,546,547,901","$106.30","14,544,176","$20,808,684","4.10 %",2023-06-23 21:36:17.551287
37,"Cronos","$1,531,169,382","$0.06","26,124,557,583","$7,611,895","2.90 %",2023-06-23 21:36:17.551287
39,"VeChain","$1,396,130,404","$0.02","72,714,516,834","$182,664,421","17.00 %",2023-06-23 21:36:17.551287
40,"NEAR Protocol","$1,291,669,961","$1.40","924,344,577","$41,903,785","4.40 %",2023-06-23 21:36:17.551287
41,"Stacks","$1,106,939,744","$0.79","1,388,464,349","$84,328,826","1.24 %",2023-06-23 21:36:17.551287
42,"The Graph","$1,035,157,918","$0.11","9,054,132,677","$39,317,886","5.78 %",2023-06-23 21:36:17.551287
44,"Pax Dollar","$1,000,441,670","$1.00","1,000,269,397","$10,047,198","-0.06 %",2023-06-23 21:36:17.551287
45,"Algorand","$1,000,912,038","$0.14","7,250,338,010","$39,450,253","9.99 %",2023-06-23 21:36:17.551287
48,"Fantom","$879,512,076","$0.31","2,797,470,702","$110,123,410","7.50 %",2023-06-23 21:36:17.551287
49,"MultiversX","$860,676,260","$33.62","25,602,359","$10,654,076","3.57 %",2023-06-23 21:36:17.551287
51,"Aave","$827,535,929","$57.31","14,436,504","$34,590,796","2.59 %",2023-06-23 21:36:17.551287
52,"EOS","$826,590,345","$0.74","1,110,267,074","$241,494,221","9.28 %",2023-06-23 21:36:17.551287
57,"Theta Network","$762,263,695","$0.76","1,000,000,000","$10,587,339","6.84 %",2023-06-23 21:36:17.551287
58,"Tezos","$753,480,979","$0.81","934,405,638","$19,221,078","5.26 %",2023-06-23 21:36:17.551287
60,"BitTorrent","$2,498,507,941","$0.00","932,497,500,000","$1,038,436","-2.73 %",2023-06-23 21:36:17.551287
61,"Decentraland","$724,553,836","$0.39","1,839,151,640","$68,163,482","6.28 %",2023-06-23 21:36:17.551287
65,"Bitcoin SV","$669,293,128","$34.74","19,266,077","$220,935,315","26.18 %",2023-06-23 21:36:17.551287
66,"Maker","$664,584,772","$737.43","901,311","$22,526,062","-0.49 %",2023-06-23 21:36:17.551287
67,"Axie Infinity","$663,060,855","$5.73","115,661,359","$86,870,185","6.24 %",2023-06-23 21:36:17.551287
68,"NEO","$657,375,934","$9.32","70,530,000","$69,271,536","8.03 %",2023-06-23 21:36:17.551287
69,"KuCoin","$657,130,756","$6.78","96,833,502","$1,867,402","1.06 %",2023-06-23 21:36:17.551287
71,"Synthetix Network","$635,383,048","$1.99","319,528,338","$17,835,379","3.07 %",2023-06-23 21:36:17.551287
73,"Curve DAO","$599,674,644","$0.70","854,792,507","$32,687,567","4.31 %",2023-06-23 21:36:17.551287
74,"Gate","$596,801,949","$4.29","139,018,905","$940,795","2.38 %",2023-06-23 21:36:17.551287
76,"Flow","$569,518,594","$0.55","1,036,200,000","$21,600,905","5.07 %",2023-06-23 21:36:17.551287
78,"Kava","$548,092,839","$0.93","588,039,250","$16,405,594","3.78 %",2023-06-23 21:36:17.551287
80,"Terra Luna Classic","$543,476,612","$0.00","5,824,181,411,420","$56,957,011","2.20 %",2023-06-23 21:36:17.551287
81,"Klaytn","$543,149,083","$0.17","3,132,792,084","$12,025,418","3.69 %",2023-06-23 21:36:17.551287
83,"IOTA","$499,929,061","$0.18","2,779,530,283","$8,339,796","5.42 %",2023-06-23 21:36:17.551287
84,"cETH","$493,856,096","$38.27","12,905,233","$360","0.93 %",2023-06-23 21:36:17.551287
85,"eCash","$484,736,410","$0.00","19,423,073,423,293","$24,552,664","12.79 %",2023-06-23 21:36:17.551287
86,"PAX Gold","$486,179,674","$1,909.94","254,608","$8,275,270","0.11 %",2023-06-23 21:36:17.551287
89,"Tether Gold","$473,806,012","$1,921.87","246,524","$6,103,786","0.24 %",2023-06-23 21:36:17.551287
91,"XDC Network","$462,586,272","$0.03","13,844,983,804","$2,071,019","-1.07 %",2023-06-23 21:36:17.551287
93,"Mina Protocol","$447,747,572","$0.49","922,116,059","$12,513,657","0.76 %",2023-06-23 21:36:17.551287
94,"Huobi","$438,055,696","$2.70","162,336,522","$10,456,154","1.60 %",2023-06-23 21:36:17.551287
98,"Chiliz","$416,714,215","$0.08","5,344,064,580","$35,965,558","5.33 %",2023-06-23 21:36:17.551287
98,"DxChain Token","$94,790,225","$0.00","0","$156,923","3.37 %",2023-06-23 21:36:17.551287
99,"Dash","$397,756,860","$35.07","11,334,640","$58,029,307","5.98 %",2023-06-23 21:36:17.551287
100,"Aave LINK","$330,885,424","$25.19","0","$11,646,285","3.32 %",2023-06-23 21:36:17.551287
1173,"Perth Mint Gold Token","$2,065,882","$1,786.56","1,157","$12,755","-0.03 %",2023-06-23 21:36:17.551287
1508,"Digix Gold Token","$1,169,772","$45.22","25,792","$0","-1.00 %",2023-06-23 21:36:17.551287
5920,"AurusGOLD","$0","$58.85","0","$41,716","-0.09 %",2023-06-23 21:36:17.551287
